dataset,oversampling,classifier,n_train_resampled,minority_ratio,oversample_time,train_time,AUC,F1,Precision,Recall
credit_default,None,RF,21000,0.2212,0.0,0.58,0.7757,0.5421,0.5201,0.566
credit_default,None,LGBM,21000,0.2212,0.0,0.11,0.7787,0.533,0.4681,0.6188
credit_default,None,MLP,21000,0.2212,0.0,47.49,0.6961,0.3856,0.5142,0.3084
credit_default,SMOTE,RF,32710,0.5,0.23,0.83,0.7733,0.5288,0.5041,0.556
credit_default,SMOTE,LGBM,32710,0.5,0.23,0.14,0.7719,0.5101,0.5693,0.4621
credit_default,SMOTE,MLP,32710,0.5,0.23,74.27,0.6901,0.4335,0.4082,0.4621
credit_default,ADASYN,RF,32349,0.4944,0.23,0.8,0.7684,0.5272,0.4774,0.5886
credit_default,ADASYN,LGBM,32349,0.4944,0.23,0.13,0.768,0.5086,0.5686,0.4601
credit_default,ADASYN,MLP,32349,0.4944,0.23,72.51,0.6788,0.408,0.3826,0.437
credit_default,G-SMOTE,RF,163550,0.9,4.36,5.77,0.7517,0.4994,0.5031,0.4957
credit_default,G-SMOTE,LGBM,163550,0.9,4.36,0.41,0.7305,0.3834,0.6289,0.2757
credit_default,G-SMOTE,MLP,163550,0.9,4.36,296.04,0.6876,0.4349,0.3647,0.5384
credit_default,CTGAN,RF,32710,0.5,34.88,0.8,0.7655,0.4696,0.653,0.3666
credit_default,CTGAN,LGBM,32710,0.5,34.88,0.11,0.7773,0.4636,0.6506,0.3601
credit_default,CTGAN,MLP,32710,0.5,34.88,88.76,0.7125,0.4561,0.4728,0.4405
credit_default,TVAE,RF,32710,0.5,17.93,0.82,0.7632,0.4657,0.6476,0.3636
credit_default,TVAE,LGBM,32710,0.5,17.93,0.11,0.7804,0.4653,0.6639,0.3581
credit_default,TVAE,MLP,32710,0.5,17.93,145.91,0.6887,0.4175,0.4282,0.4073
fraud_detection,None,RF,199364,0.0017,0.01,13.63,0.9666,0.7902,0.8188,0.7635
fraud_detection,None,LGBM,199364,0.0017,0.01,0.42,0.9597,0.6477,0.5252,0.8446
fraud_detection,None,MLP,199364,0.0017,0.01,98.74,0.952,0.8075,0.9145,0.723
fraud_detection,SMOTE,RF,398040,0.5,0.13,33.2,0.9763,0.6648,0.5602,0.8176
fraud_detection,SMOTE,LGBM,398040,0.5,0.13,0.73,0.9715,0.4695,0.3232,0.8581
fraud_detection,SMOTE,MLP,398040,0.5,0.13,341.74,0.9489,0.7703,0.7703,0.7703
fraud_detection,ADASYN,RF,398055,0.5,0.17,29.63,0.9753,0.238,0.1383,0.8514
fraud_detection,ADASYN,LGBM,398055,0.5,0.17,0.75,0.97,0.2903,0.1747,0.8581
fraud_detection,ADASYN,MLP,398055,0.5,0.17,436.17,0.9369,0.8043,0.8496,0.7635
fraud_detection,G-SMOTE,RF,1194120,0.8333,1.36,101.77,0.9756,0.743,0.6857,0.8108
fraud_detection,G-SMOTE,LGBM,1194120,0.8333,1.36,1.51,0.9693,0.5605,0.4195,0.8446
fraud_detection,G-SMOTE,MLP,1194120,0.8333,1.36,802.4,0.9384,0.7308,0.6951,0.7703
fraud_detection,CTGAN,RF,398040,0.5,8.38,33.4,0.9639,0.7755,0.7808,0.7703
fraud_detection,CTGAN,LGBM,398040,0.5,8.38,0.62,0.9475,0.8014,0.8125,0.7905
fraud_detection,CTGAN,MLP,398040,0.5,8.38,137.63,0.9547,0.7719,0.8029,0.7432
fraud_detection,TVAE,RF,398040,0.5,6.22,36.04,0.9551,0.7771,0.7349,0.8243
fraud_detection,TVAE,LGBM,398040,0.5,6.22,0.62,0.9544,0.7508,0.7041,0.8041
fraud_detection,TVAE,MLP,398040,0.5,6.22,108.76,0.9574,0.786,0.8175,0.7568
pima_diabetes,None,RF,537,0.3482,0.0,0.22,0.8394,0.6115,0.6316,0.5926
pima_diabetes,None,LGBM,537,0.3482,0.0,0.05,0.8172,0.6296,0.6296,0.6296
pima_diabetes,None,MLP,537,0.3482,0.0,1.1,0.7858,0.6013,0.6389,0.5679
pima_diabetes,SMOTE,RF,700,0.5,0.0,0.22,0.8426,0.6588,0.6292,0.6914
pima_diabetes,SMOTE,LGBM,700,0.5,0.0,0.04,0.8133,0.6335,0.6375,0.6296
pima_diabetes,SMOTE,MLP,700,0.5,0.0,1.49,0.7811,0.6211,0.625,0.6173
pima_diabetes,ADASYN,RF,693,0.4949,0.0,0.21,0.8442,0.686,0.6484,0.7284
pima_diabetes,ADASYN,LGBM,693,0.4949,0.0,0.04,0.8228,0.6341,0.6265,0.642
pima_diabetes,ADASYN,MLP,693,0.4949,0.0,1.49,0.7945,0.6296,0.6296,0.6296
pima_diabetes,G-SMOTE,RF,1750,0.8,0.67,0.25,0.8355,0.7065,0.6311,0.8025
pima_diabetes,G-SMOTE,LGBM,1750,0.8,0.67,0.06,0.8281,0.6184,0.662,0.5802
pima_diabetes,G-SMOTE,MLP,1750,0.8,0.67,3.53,0.7816,0.6265,0.6118,0.642
pima_diabetes,CTGAN,RF,700,0.5,1.76,0.2,0.8048,0.6154,0.5909,0.642
pima_diabetes,CTGAN,LGBM,700,0.5,1.76,0.06,0.7952,0.5963,0.6,0.5926
pima_diabetes,CTGAN,MLP,700,0.5,1.76,1.5,0.7495,0.5854,0.5783,0.5926
pima_diabetes,TVAE,RF,700,0.5,1.2,0.22,0.8349,0.646,0.65,0.642
pima_diabetes,TVAE,LGBM,700,0.5,1.2,0.07,0.8238,0.6184,0.662,0.5802
pima_diabetes,TVAE,MLP,700,0.5,1.2,1.48,0.801,0.6316,0.6761,0.5926
ibm_attrition,None,RF,1029,0.1613,0.0,0.22,0.7796,0.2376,0.4,0.169
ibm_attrition,None,LGBM,1029,0.1613,0.0,0.08,0.7347,0.4098,0.4902,0.3521
ibm_attrition,None,MLP,1029,0.1613,0.0,1.14,0.7471,0.45,0.551,0.3803
ibm_attrition,SMOTE,RF,1726,0.5,0.01,0.22,0.7797,0.3178,0.4722,0.2394
ibm_attrition,SMOTE,LGBM,1726,0.5,0.01,0.12,0.7659,0.422,0.6053,0.3239
ibm_attrition,SMOTE,MLP,1726,0.5,0.01,1.09,0.7414,0.4242,0.459,0.3944
ibm_attrition,ADASYN,RF,1751,0.5071,0.03,0.23,0.7888,0.3551,0.5278,0.2676
ibm_attrition,ADASYN,LGBM,1751,0.5071,0.03,0.1,0.764,0.3738,0.5556,0.2817
ibm_attrition,ADASYN,MLP,1751,0.5071,0.03,1.11,0.7454,0.4496,0.5,0.4085
ibm_attrition,G-SMOTE,RF,7767,0.8889,0.64,0.36,0.7888,0.3434,0.6071,0.2394
ibm_attrition,G-SMOTE,LGBM,7767,0.8889,0.64,0.14,0.7657,0.2667,0.6316,0.169
ibm_attrition,G-SMOTE,MLP,7767,0.8889,0.64,2.27,0.7438,0.4681,0.4714,0.4648
ibm_attrition,CTGAN,RF,1726,0.5,5.58,0.29,0.7665,0.1818,0.4706,0.1127
ibm_attrition,CTGAN,LGBM,1726,0.5,5.58,0.08,0.7655,0.3125,0.6,0.2113
ibm_attrition,CTGAN,MLP,1726,0.5,5.58,1.35,0.7415,0.4559,0.4769,0.4366
ibm_attrition,TVAE,RF,1726,0.5,4.15,0.22,0.778,0.2045,0.5294,0.1268
ibm_attrition,TVAE,LGBM,1726,0.5,4.15,0.1,0.7526,0.3469,0.6296,0.2394
ibm_attrition,TVAE,MLP,1726,0.5,4.15,1.33,0.7349,0.3932,0.5,0.3239
yeast_me2,None,RF,1038,0.0347,0.0,0.2,0.9111,0.25,0.3333,0.2
yeast_me2,None,LGBM,1038,0.0347,0.0,0.04,0.8818,0.3529,0.3158,0.4
yeast_me2,None,MLP,1038,0.0347,0.0,2.15,0.8128,0.2222,0.25,0.2
yeast_me2,SMOTE,RF,2004,0.5,0.0,0.21,0.9027,0.2222,0.1667,0.3333
yeast_me2,SMOTE,LGBM,2004,0.5,0.0,0.05,0.9191,0.25,0.2,0.3333
yeast_me2,SMOTE,MLP,2004,0.5,0.0,2.76,0.8192,0.2286,0.2,0.2667
yeast_me2,ADASYN,RF,2005,0.5002,0.0,0.23,0.8919,0.24,0.1714,0.4
yeast_me2,ADASYN,LGBM,2005,0.5002,0.0,0.09,0.9036,0.25,0.2,0.3333
yeast_me2,ADASYN,MLP,2005,0.5002,0.0,3.17,0.8074,0.3,0.24,0.4
yeast_me2,G-SMOTE,RF,2005,0.5002,0.42,0.23,0.9058,0.2791,0.2143,0.4
yeast_me2,G-SMOTE,LGBM,2005,0.5002,0.42,0.05,0.9109,0.3111,0.2333,0.4667
yeast_me2,G-SMOTE,MLP,2005,0.5002,0.42,4.01,0.8076,0.2857,0.25,0.3333
yeast_me2,CTGAN,RF,2004,0.5,1.8,0.2,0.9225,0.0,0.0,0.0
yeast_me2,CTGAN,LGBM,2004,0.5,1.8,0.05,0.8905,0.3,0.6,0.2
yeast_me2,CTGAN,MLP,2004,0.5,1.8,2.45,0.8367,0.3333,0.2424,0.5333
yeast_me2,TVAE,RF,2004,0.5,0.98,0.2,0.9145,0.1176,0.5,0.0667
yeast_me2,TVAE,LGBM,2004,0.5,0.98,0.05,0.9004,0.2857,0.5,0.2
yeast_me2,TVAE,MLP,2004,0.5,0.98,1.96,0.7578,0.2041,0.1471,0.3333
mammography,None,RF,7828,0.0232,0.0,0.25,0.9707,0.6887,0.7123,0.6667
mammography,None,LGBM,7828,0.0232,0.0,0.07,0.9551,0.6952,0.5963,0.8333
mammography,None,MLP,7828,0.0232,0.0,6.46,0.9747,0.7143,0.8065,0.641
mammography,SMOTE,RF,15292,0.5,0.0,0.38,0.97,0.6296,0.4928,0.8718
mammography,SMOTE,LGBM,15292,0.5,0.0,0.06,0.9773,0.6408,0.5156,0.8462
mammography,SMOTE,MLP,15292,0.5,0.0,20.73,0.9413,0.6058,0.4846,0.8077
mammography,ADASYN,RF,15274,0.4994,0.01,0.4,0.9648,0.5614,0.4267,0.8205
mammography,ADASYN,LGBM,15274,0.4994,0.01,0.08,0.9593,0.5726,0.4295,0.859
mammography,ADASYN,MLP,15274,0.4994,0.01,20.1,0.9303,0.535,0.3939,0.8333
mammography,G-SMOTE,RF,45876,0.8333,0.75,0.93,0.9689,0.5579,0.4194,0.8333
mammography,G-SMOTE,LGBM,45876,0.8333,0.75,0.12,0.9581,0.6567,0.5366,0.8462
mammography,G-SMOTE,MLP,45876,0.8333,0.75,64.28,0.9258,0.106,0.0565,0.859
mammography,CTGAN,RF,15292,0.5,1.83,0.34,0.9533,0.6216,0.6571,0.5897
mammography,CTGAN,LGBM,15292,0.5,1.83,0.06,0.959,0.6497,0.6456,0.6538
mammography,CTGAN,MLP,15292,0.5,1.83,13.35,0.9697,0.6474,0.5895,0.7179
mammography,TVAE,RF,15292,0.5,1.07,0.42,0.961,0.6272,0.5824,0.6795
mammography,TVAE,LGBM,15292,0.5,1.07,0.06,0.9591,0.6871,0.6588,0.7179
mammography,TVAE,MLP,15292,0.5,1.07,13.48,0.9737,0.6742,0.6,0.7692
abalone_19,None,RF,2923,0.0075,0.0,0.22,0.8475,0.0,0.0,0.0
abalone_19,None,LGBM,2923,0.0075,0.0,0.05,0.8207,0.0,0.0,0.0
abalone_19,None,MLP,2923,0.0075,0.0,3.57,0.8239,0.0,0.0,0.0
abalone_19,SMOTE,RF,5802,0.5,0.0,0.27,0.8096,0.0588,0.0326,0.3
abalone_19,SMOTE,LGBM,5802,0.5,0.0,0.06,0.8246,0.0,0.0,0.0
abalone_19,SMOTE,MLP,5802,0.5,0.0,5.23,0.8453,0.0667,0.05,0.1
abalone_19,ADASYN,RF,5801,0.4999,0.01,0.27,0.8259,0.0577,0.0319,0.3
abalone_19,ADASYN,LGBM,5801,0.4999,0.01,0.06,0.8064,0.0,0.0,0.0
abalone_19,ADASYN,MLP,5801,0.4999,0.01,4.42,0.8322,0.1026,0.069,0.2
abalone_19,G-SMOTE,RF,17406,0.8333,0.4,0.49,0.8412,0.0938,0.0556,0.3
abalone_19,G-SMOTE,LGBM,17406,0.8333,0.4,0.08,0.8899,0.0,0.0,0.0
abalone_19,G-SMOTE,MLP,17406,0.8333,0.4,13.23,0.8321,0.0465,0.0303,0.1
abalone_19,CTGAN,RF,5802,0.5,1.71,0.25,0.752,0.0,0.0,0.0
abalone_19,CTGAN,LGBM,5802,0.5,1.71,0.05,0.8217,0.0,0.0,0.0
abalone_19,CTGAN,MLP,5802,0.5,1.71,4.39,0.8285,0.0,0.0,0.0
abalone_19,TVAE,RF,5802,0.5,1.11,0.25,0.758,0.0,0.0,0.0
abalone_19,TVAE,LGBM,5802,0.5,1.11,0.06,0.8593,0.0,0.0,0.0
abalone_19,TVAE,MLP,5802,0.5,1.11,4.88,0.8174,0.0,0.0,0.0
wine_quality,None,RF,3428,0.0373,0.0,0.23,0.8821,0.3373,0.5,0.2545
wine_quality,None,LGBM,3428,0.0373,0.0,0.06,0.8773,0.3937,0.3472,0.4545
wine_quality,None,MLP,3428,0.0373,0.0,7.46,0.8118,0.3678,0.5,0.2909
wine_quality,SMOTE,RF,6600,0.5,0.0,0.33,0.8467,0.2529,0.1849,0.4
wine_quality,SMOTE,LGBM,6600,0.5,0.0,0.06,0.8644,0.4286,0.3529,0.5455
wine_quality,SMOTE,MLP,6600,0.5,0.0,8.21,0.8073,0.3793,0.3607,0.4
wine_quality,ADASYN,RF,6608,0.5006,0.01,0.32,0.8404,0.2755,0.1915,0.4909
wine_quality,ADASYN,LGBM,6608,0.5006,0.01,0.07,0.8548,0.3553,0.2784,0.4909
wine_quality,ADASYN,MLP,6608,0.5006,0.01,9.04,0.8028,0.3876,0.3378,0.4545
wine_quality,G-SMOTE,RF,9900,0.6667,0.43,0.41,0.8549,0.3014,0.2418,0.4
wine_quality,G-SMOTE,LGBM,9900,0.6667,0.43,0.07,0.8524,0.3407,0.2875,0.4182
wine_quality,G-SMOTE,MLP,9900,0.6667,0.43,12.27,0.8067,0.3925,0.4038,0.3818
wine_quality,CTGAN,RF,6600,0.5,2.11,0.28,0.8154,0.119,0.1724,0.0909
wine_quality,CTGAN,LGBM,6600,0.5,2.11,0.07,0.8501,0.2529,0.3438,0.2
wine_quality,CTGAN,MLP,6600,0.5,2.11,11.08,0.8283,0.378,0.3333,0.4364
wine_quality,TVAE,RF,6600,0.5,1.52,0.31,0.8148,0.2048,0.1532,0.3091
wine_quality,TVAE,LGBM,6600,0.5,1.52,0.08,0.8193,0.1803,0.1642,0.2
wine_quality,TVAE,MLP,6600,0.5,1.52,15.27,0.7988,0.3378,0.2688,0.4545
ecoli,None,RF,235,0.1021,0.0,0.18,0.9576,0.7826,0.75,0.8182
ecoli,None,LGBM,235,0.1021,0.0,0.03,0.9535,0.7826,0.75,0.8182
ecoli,None,MLP,235,0.1021,0.0,0.66,0.9232,0.7273,0.7273,0.7273
ecoli,SMOTE,RF,422,0.5,0.0,0.18,0.9566,0.7273,0.7273,0.7273
ecoli,SMOTE,LGBM,422,0.5,0.0,0.04,0.9283,0.6923,0.6,0.8182
ecoli,SMOTE,MLP,422,0.5,0.0,0.92,0.898,0.6957,0.6667,0.7273
ecoli,ADASYN,RF,418,0.4952,0.0,0.21,0.9545,0.6667,0.6154,0.7273
ecoli,ADASYN,LGBM,418,0.4952,0.0,0.04,0.9515,0.6957,0.6667,0.7273
ecoli,ADASYN,MLP,418,0.4952,0.0,0.91,0.901,0.6957,0.6667,0.7273
ecoli,G-SMOTE,RF,423,0.5012,0.29,0.2,0.9566,0.6957,0.6667,0.7273
ecoli,G-SMOTE,LGBM,423,0.5012,0.29,0.03,0.9485,0.6957,0.6667,0.7273
ecoli,G-SMOTE,MLP,423,0.5012,0.29,0.9,0.9,0.6667,0.6154,0.7273
ecoli,CTGAN,RF,422,0.5,1.5,0.18,0.9848,0.8,0.8889,0.7273
ecoli,CTGAN,LGBM,422,0.5,1.5,0.04,0.9646,0.7,0.7778,0.6364
