dataset,oversampling,classifier,best_target_ratio,AUC_mean
pima_diabetes,SMOTE,RF,0.4,0.829408106219427
pima_diabetes,SMOTE,LGBM,0.2,0.8083584905660377
pima_diabetes,SMOTE,MLP,0.2,0.7775911949685536
pima_diabetes,ADASYN,RF,0.2,0.8292208245981829
pima_diabetes,ADASYN,LGBM,0.2,0.8083584905660377
pima_diabetes,ADASYN,MLP,0.2,0.7775911949685536
pima_diabetes,G-SMOTE,RF,0.2,0.8292208245981829
pima_diabetes,G-SMOTE,LGBM,0.2,0.8083584905660377
pima_diabetes,G-SMOTE,MLP,0.2,0.7775911949685536
pima_diabetes,CTGAN,RF,0.2,0.8292208245981829
pima_diabetes,CTGAN,LGBM,0.2,0.8083584905660377
pima_diabetes,CTGAN,MLP,0.2,0.7775911949685536
pima_diabetes,TVAE,RF,0.2,0.8292208245981829
pima_diabetes,TVAE,LGBM,0.5,0.8103522012578617
pima_diabetes,TVAE,MLP,0.2,0.7775911949685536
credit_default,SMOTE,RF,0.2,0.7789564188007214
credit_default,SMOTE,LGBM,0.2,0.7843381876628441
credit_default,SMOTE,MLP,0.2,0.7029168832639278
credit_default,ADASYN,RF,0.2,0.7789564188007214
credit_default,ADASYN,LGBM,0.2,0.7843381876628441
credit_default,ADASYN,MLP,0.2,0.7029168832639278
credit_default,G-SMOTE,RF,0.2,0.7789564188007214
credit_default,G-SMOTE,LGBM,0.2,0.7843381876628441
credit_default,G-SMOTE,MLP,0.2,0.7029168832639278
credit_default,CTGAN,RF,0.2,0.7789564188007214
credit_default,CTGAN,LGBM,0.3,0.7845758845511033
credit_default,CTGAN,MLP,0.3,0.7100702385808498
credit_default,TVAE,RF,0.2,0.7789564188007214
credit_default,TVAE,LGBM,0.3,0.7847433167342697
credit_default,TVAE,MLP,0.2,0.7029168832639278
ibm_attrition,SMOTE,RF,0.4,0.8164068049716591
ibm_attrition,SMOTE,LGBM,0.2,0.8090648541886832
ibm_attrition,SMOTE,MLP,0.2,0.7659435176217126
ibm_attrition,ADASYN,RF,0.5,0.81403581868427
ibm_attrition,ADASYN,LGBM,0.2,0.8090648541886832
ibm_attrition,ADASYN,MLP,0.2,0.7659435176217126
ibm_attrition,G-SMOTE,RF,0.3,0.8141346361025847
ibm_attrition,G-SMOTE,LGBM,0.3,0.8122418774472007
ibm_attrition,G-SMOTE,MLP,0.2,0.7629194192385544
ibm_attrition,CTGAN,RF,0.4,0.8079670046205157
ibm_attrition,CTGAN,LGBM,0.2,0.8112520385314543
ibm_attrition,CTGAN,MLP,0.3,0.7818586224452994
ibm_attrition,TVAE,RF,0.3,0.8092611379802745
ibm_attrition,TVAE,LGBM,0.3,0.8083887962124517
ibm_attrition,TVAE,MLP,0.3,0.7636957434319369
ecoli,SMOTE,RF,0.4,0.9408723196881091
ecoli,SMOTE,LGBM,0.4,0.9493500243664718
ecoli,SMOTE,MLP,0.2,0.9116130604288498
ecoli,ADASYN,RF,0.5,0.942764985380117
ecoli,ADASYN,LGBM,0.4,0.9504203216374268
ecoli,ADASYN,MLP,0.2,0.9104203216374269
ecoli,G-SMOTE,RF,0.5,0.9409131335282652
ecoli,G-SMOTE,LGBM,0.2,0.9530098684210526
ecoli,G-SMOTE,MLP,0.3,0.9122721734892787
ecoli,CTGAN,RF,0.5,0.9536500974658868
ecoli,CTGAN,LGBM,0.2,0.9523099415204677
ecoli,CTGAN,MLP,0.5,0.9290235136452241
ecoli,TVAE,RF,0.3,0.9445760233918128
ecoli,TVAE,LGBM,0.5,0.9515503167641325
ecoli,TVAE,MLP,0.4,0.9165095029239766
wine_quality,SMOTE,RF,0.5,0.8570342877341816
wine_quality,SMOTE,LGBM,0.2,0.8590625089564643
wine_quality,SMOTE,MLP,0.4,0.7626481200182154
wine_quality,ADASYN,RF,0.2,0.8557012473767511
wine_quality,ADASYN,LGBM,0.3,0.8597896942541693
wine_quality,ADASYN,MLP,0.5,0.7795348370639992
wine_quality,G-SMOTE,RF,0.3,0.8573726430566303
wine_quality,G-SMOTE,LGBM,0.2,0.8601438129539932
wine_quality,G-SMOTE,MLP,0.3,0.7656063805056382
wine_quality,CTGAN,RF,0.2,0.8530066652017873
wine_quality,CTGAN,LGBM,0.2,0.8664939064196753
wine_quality,CTGAN,MLP,0.4,0.8106708511268426
wine_quality,TVAE,RF,0.2,0.841747314652935
wine_quality,TVAE,LGBM,0.2,0.8459472197542187
wine_quality,TVAE,MLP,0.3,0.7940529076266086
yeast_me2,SMOTE,RF,0.3,0.9342818600468268
yeast_me2,SMOTE,LGBM,0.4,0.9374307067655183
yeast_me2,SMOTE,MLP,0.2,0.8726425237733443
yeast_me2,ADASYN,RF,0.2,0.9375803575581847
yeast_me2,ADASYN,LGBM,0.4,0.9358117713771815
yeast_me2,ADASYN,MLP,0.2,0.8711710462486517
yeast_me2,G-SMOTE,RF,0.2,0.9363961537354
yeast_me2,G-SMOTE,LGBM,0.4,0.9352797092043211
yeast_me2,G-SMOTE,MLP,0.2,0.8747377677754617
yeast_me2,CTGAN,RF,0.2,0.9436390881845428
yeast_me2,CTGAN,LGBM,0.4,0.9479515827852856
yeast_me2,CTGAN,MLP,0.2,0.8767452724658933
yeast_me2,TVAE,RF,0.4,0.9470859738930691
yeast_me2,TVAE,LGBM,0.5,0.9464177729144471
yeast_me2,TVAE,MLP,0.3,0.8897726442072338
mammography,SMOTE,RF,0.2,0.9504774945467606
mammography,SMOTE,LGBM,0.4,0.9387221248870826
mammography,SMOTE,MLP,0.2,0.927239744024971
mammography,ADASYN,RF,0.3,0.9416863655472616
mammography,ADASYN,LGBM,0.5,0.9307331226026218
mammography,ADASYN,MLP,0.2,0.9205030968049144
mammography,G-SMOTE,RF,0.2,0.952642580128608
mammography,G-SMOTE,LGBM,0.3,0.9374160022999355
mammography,G-SMOTE,MLP,0.2,0.9261742893540772
mammography,CTGAN,RF,0.2,0.9404956290262575
mammography,CTGAN,LGBM,0.3,0.9418053640017202
mammography,CTGAN,MLP,0.5,0.9454979200155005
mammography,TVAE,RF,0.5,0.9552520837725907
mammography,TVAE,LGBM,0.2,0.9494063267088484
mammography,TVAE,MLP,0.3,0.9525824179854061
protein_homo,SMOTE,RF,0.4,0.9928849345023931
protein_homo,SMOTE,LGBM,0.4,0.9929609044767744
protein_homo,SMOTE,MLP,0.4,0.991962268245886
protein_homo,ADASYN,RF,0.4,0.991408964536236
protein_homo,ADASYN,LGBM,0.3,0.9929444252316427
protein_homo,ADASYN,MLP,0.5,0.991423151900463
protein_homo,G-SMOTE,RF,0.5,0.9926470596852376
protein_homo,G-SMOTE,LGBM,0.5,0.9932529286746863
protein_homo,G-SMOTE,MLP,0.5,0.9909406145690802
protein_homo,CTGAN,RF,0.2,0.9784562096032797
protein_homo,CTGAN,LGBM,0.2,0.9899281929744704
protein_homo,CTGAN,MLP,0.5,0.9928480246776603
protein_homo,TVAE,RF,0.2,0.9815922144699272
protein_homo,TVAE,LGBM,0.2,0.9890306341450297
protein_homo,TVAE,MLP,0.3,0.9916478503941729
abalone_19,SMOTE,RF,0.2,0.8070583918658292
abalone_19,SMOTE,LGBM,0.5,0.7928218127636522
abalone_19,SMOTE,MLP,0.4,0.7862369651560226
abalone_19,ADASYN,RF,0.2,0.8056317349990506
abalone_19,ADASYN,LGBM,0.5,0.7926212666335918
abalone_19,ADASYN,MLP,0.5,0.7796006029793398
abalone_19,G-SMOTE,RF,0.3,0.7712477672172103
abalone_19,G-SMOTE,LGBM,0.4,0.7996968988636659
abalone_19,G-SMOTE,MLP,0.4,0.7790569221153237
abalone_19,CTGAN,RF,0.5,0.7617618727264943
abalone_19,CTGAN,LGBM,0.5,0.7052549427225476
abalone_19,CTGAN,MLP,0.2,0.7874915819783828
abalone_19,TVAE,RF,0.4,0.7393319028708072
abalone_19,TVAE,LGBM,0.5,0.7143229030923401
abalone_19,TVAE,MLP,0.4,0.7870380734260918
pageblocks,SMOTE,RF,0.5,0.9993368023671053
pageblocks,SMOTE,LGBM,0.3,0.9994684215896337
pageblocks,SMOTE,MLP,0.4,0.998379757167636
pageblocks,ADASYN,RF,0.3,0.9993980206101418
pageblocks,ADASYN,LGBM,0.3,0.9993582287521682
pageblocks,ADASYN,MLP,0.2,0.997237016630956
pageblocks,G-SMOTE,RF,0.5,0.999353127231915
pageblocks,G-SMOTE,LGBM,0.3,0.9995061728395062
pageblocks,G-SMOTE,MLP,0.3,0.9987082950719314
pageblocks,CTGAN,RF,0.4,0.9988837873686358
pageblocks,CTGAN,LGBM,0.4,0.9989827568615448
pageblocks,CTGAN,MLP,0.2,0.9987021732476279
pageblocks,TVAE,RF,0.2,0.9994755637179878
pageblocks,TVAE,LGBM,0.5,0.9993500663197632
pageblocks,TVAE,MLP,0.5,0.9985695337210488
fraud_detection,SMOTE,RF,0.3,0.9844672347395684
fraud_detection,SMOTE,LGBM,0.2,0.9808570069317077
fraud_detection,SMOTE,MLP,0.4,0.9617806410357932
fraud_detection,ADASYN,RF,0.5,0.9814370801635933
fraud_detection,ADASYN,LGBM,0.5,0.978509499190032
fraud_detection,ADASYN,MLP,0.3,0.962453279800739
fraud_detection,G-SMOTE,RF,0.2,0.9854129477180871
fraud_detection,G-SMOTE,LGBM,0.4,0.9806041672786556
fraud_detection,G-SMOTE,MLP,0.3,0.9614677091009931
fraud_detection,CTGAN,RF,0.2,0.9727983198145818
fraud_detection,CTGAN,LGBM,0.2,0.9687560406093171
fraud_detection,CTGAN,MLP,0.3,0.9705956766699252
fraud_detection,TVAE,RF,0.3,0.9721506349714246
fraud_detection,TVAE,LGBM,0.3,0.9725555908256936
fraud_detection,TVAE,MLP,0.5,0.9659972427807901
