dataset,oversampling,classifier,AUC_mean,AUC_std,PRAUC_mean,F1_mean,oversample_time,train_time,n_splits,minority_ratio
abalone_19,None,LGBM,0.6436066929263953,0.08642863484386126,0.06236435801438217,0.10952380952380954,0.0,0.05473834276199341,4,0.00766100086460653
abalone_19,None,MLP,0.75671792448703,0.08253645433821613,0.026315418841673967,0.0,0.0,5.03176337480545,4,0.00766100086460653
abalone_19,None,RF,0.7993767144374364,0.029535657417431544,0.04333322547760714,0.0,0.0,0.21425259113311768,4,0.00766100086460653
credit_default,None,LGBM,0.7843381876628441,0.00700425800722698,0.5605823573118442,0.5403134645221674,0.00019993782043457032,0.10319323539733886,5,0.2212
credit_default,None,MLP,0.7029168832639279,0.0058495078180448865,0.4201894084296377,0.4264765773030055,0.00019993782043457032,63.72725882530212,5,0.2212
credit_default,None,RF,0.7789564188007214,0.007042655992854902,0.5545396422500732,0.5436160211063977,0.00019993782043457032,0.5809979438781738,5,0.2212
ecoli,None,LGBM,0.9463840155945419,0.025249544599847025,0.6748946847109686,0.692929292929293,0.0,0.029000818729400635,4,0.10416666666666666
ecoli,None,MLP,0.9172094298245614,0.0670337772712944,0.6064951901574709,0.6000000000000001,0.0,0.631750762462616,4,0.10416666666666666
ecoli,None,RF,0.939145955165692,0.026627892989966883,0.6671701290947096,0.5953044375644995,0.0,0.17016416788101196,4,0.10416666666666666
fraud_detection,None,LGBM,0.9789614742820568,0.007750929126774421,0.7553410170944291,0.6557658114393697,0.000799560546875,0.510200309753418,5,0.0017274856260049514
fraud_detection,None,MLP,0.9604538004820891,0.011152582715642005,0.8316989284066452,0.8384180319580479,0.000799560546875,118.97846145629883,5,0.0017274856260049514
fraud_detection,None,RF,0.9802097286612701,0.0069418724973595546,0.8341636119032623,0.8361573297448865,0.000799560546875,16.60639967918396,5,0.0017274856260049514
ibm_attrition,None,LGBM,0.8060821771539276,0.031767698248522186,0.5497628047949242,0.5340153673487007,0.0,0.06439313888549805,5,0.16122448979591839
ibm_attrition,None,MLP,0.7651486085344962,0.026258329368200856,0.5107133125881465,0.46231524095225673,0.0,1.1450007915496827,5,0.16122448979591839
ibm_attrition,None,RF,0.8039096135696046,0.025597339244403716,0.5493420845197512,0.3895326394464395,0.0,0.20437121391296387,5,0.16122448979591839
mammography,None,LGBM,0.9324606800155779,0.024916177225359624,0.7125806221171911,0.6455710114034607,0.0,0.06400060653686523,5,0.023249575317858494
mammography,None,MLP,0.9569895684026118,0.01576911387292575,0.7723541197292046,0.6933996367493129,0.0,6.614154481887818,5,0.023249575317858494
mammography,None,RF,0.9418875039251073,0.01938940096426452,0.7184582944956732,0.6699768139472771,0.0,0.25823230743408204,5,0.023249575317858494
pageblocks,None,LGBM,0.9989337822671156,0.0006340473451224305,0.8320797191268205,0.7497584541062802,0.0,0.03999988238016764,3,0.0051160075098681205
pageblocks,None,MLP,0.9993633302724212,0.0004045965507647898,0.8944923594923595,0.7783068783068784,0.0,1.3373332023620605,3,0.0051160075098681205
pageblocks,None,RF,0.9992715029078666,0.0003674624719549393,0.8638228746562081,0.7749766573295985,0.0,0.20631750424702963,3,0.0051160075098681205
pima_diabetes,None,LGBM,0.8083584905660377,0.0320596537884089,0.6672256299044699,0.6564778244519914,0.0,0.03800053596496582,5,0.3489579195466222
pima_diabetes,None,MLP,0.7775911949685536,0.031944044598023476,0.6158175152953873,0.5951980413517779,0.0,1.2554005622863769,5,0.3489579195466222
pima_diabetes,None,RF,0.8292208245981831,0.026791786407855976,0.7005191106008034,0.6853117853514843,0.0,0.19919447898864745,5,0.3489579195466222
protein_homo,None,LGBM,0.9930409618417995,0.0011596818979549253,0.8857364088456802,0.6769263965030832,0.000999593734741211,0.533000898361206,5,0.008891877231030928
protein_homo,None,MLP,0.9919845376655456,0.0034576198851579837,0.8878363077093822,0.8436209644567711,0.000999593734741211,34.07790212631225,5,0.008891877231030928
protein_homo,None,RF,0.9920459692641341,0.001687702048498799,0.8806709869451634,0.8311409888364517,0.000999593734741211,5.152600240707398,5,0.008891877231030928
wine_quality,None,LGBM,0.877762810530573,0.028931681743758143,0.3556624644957487,0.3794521339579014,0.0,0.057999706268310545,5,0.0373621736019635
wine_quality,None,MLP,0.7762385397061962,0.08322832915785165,0.29366779468527704,0.36916244646605884,0.0,7.634386825561523,5,0.0373621736019635
wine_quality,None,RF,0.8703280693206462,0.029786036698610716,0.36415609408457517,0.3220810512239084,0.0,0.2284764289855957,5,0.0373621736019635
yeast_me2,None,LGBM,0.9166957875827055,0.026426671366934953,0.41207969471811756,0.3327419247419247,0.0,0.04059934616088867,5,0.034366552353072996
yeast_me2,None,MLP,0.8749722339744513,0.02968387728237183,0.42854838002637585,0.33876547429179005,0.0,2.2286442279815675,5,0.034366552353072996
yeast_me2,None,RF,0.9354980717730162,0.01734120572420145,0.448071781576065,0.44938862307283356,0.0,0.19303689002990723,5,0.034366552353072996
