dataset,oversampling,classifier,fold,n_splits,oversample_time,train_time,n_resampled,minority_ratio,AUC,PR_AUC,F1,Precision,Recall
credit_default,CTAB-GAN+,RF,0,5,1002.518061876297,0.6490013599395752,37384,0.5,0.7774084619728915,0.5490750553842929,0.474757281553398,0.6680327868852459,0.3682228915662651
credit_default,CTAB-GAN+,MLP,0,5,1002.518061876297,156.68099880218506,37384,0.5,0.7160071955200942,0.40603595949663895,0.4311328443357783,0.4698046181172291,0.3983433734939759
credit_default,CTAB-GAN+,RF,1,5,999.1116728782654,0.6499991416931152,37382,0.5,0.770027548467031,0.5442960274590168,0.4804202483285578,0.6558018252933507,0.3790504898266767
credit_default,CTAB-GAN+,MLP,1,5,999.1116728782654,151.2370011806488,37382,0.5,0.6854405472861058,0.37060728957840916,0.3827586206896552,0.4471299093655589,0.33458929917106256
credit_default,CTAB-GAN+,RF,2,5,998.6319501399994,0.652998685836792,37382,0.5,0.7690561840043437,0.5445497435516471,0.46853823814133594,0.6549391069012178,0.36473247927656366
credit_default,CTAB-GAN+,MLP,2,5,998.6319501399994,109.62899851799011,37382,0.5,0.6828267246093458,0.3630377987038732,0.40062475595470515,0.41572123176661263,0.386586284853052
credit_default,CTAB-GAN+,RF,3,5,1030.3933081626892,0.6440021991729736,37382,0.5,0.7645655887507175,0.5504145561670968,0.5026429601153292,0.6936339522546419,0.39412207987942727
credit_default,CTAB-GAN+,MLP,3,5,1030.3933081626892,177.92499995231628,37382,0.5,0.7011392064370816,0.3912039515969985,0.44140350877192985,0.4130006565988181,0.4740015071590053
credit_default,CTAB-GAN+,RF,4,5,996.9962770938873,0.6399993896484375,37382,0.5,0.7600949094116162,0.5452206353758747,0.4751327860936746,0.6612903225806451,0.3707611152976639
credit_default,CTAB-GAN+,MLP,4,5,996.9962770938873,172.2766342163086,37382,0.5,0.6873444119572247,0.3672331554434551,0.41067285382830626,0.4217633042096902,0.40015071590052753
pima_diabetes,CTAB-GAN+,RF,0,5,23.083714485168457,0.19199800491333008,800,0.5,0.8625925925925926,0.7135423596700617,0.7241379310344828,0.6774193548387096,0.7777777777777778
pima_diabetes,CTAB-GAN+,MLP,0,5,23.083714485168457,1.685999870300293,800,0.5,0.7696296296296296,0.5624656118760738,0.6451612903225806,0.5714285714285714,0.7407407407407407
pima_diabetes,CTAB-GAN+,RF,1,5,22.92562246322632,0.18699932098388672,800,0.5,0.8609259259259259,0.7603682660845817,0.6964285714285714,0.6724137931034483,0.7222222222222222
pima_diabetes,CTAB-GAN+,MLP,1,5,22.92562246322632,1.6989986896514893,800,0.5,0.7916666666666667,0.6189045691740481,0.6666666666666666,0.6491228070175439,0.6851851851851852
pima_diabetes,CTAB-GAN+,RF,2,5,22.91636610031128,0.17799925804138184,800,0.5,0.8335185185185184,0.724171031518487,0.6833333333333333,0.6212121212121212,0.7592592592592593
pima_diabetes,CTAB-GAN+,MLP,2,5,22.91636610031128,1.6728031635284424,800,0.5,0.7559259259259259,0.657582429548191,0.5811965811965812,0.5396825396825397,0.6296296296296297
pima_diabetes,CTAB-GAN+,RF,3,5,23.094735622406006,0.1829979419708252,800,0.5,0.8056603773584905,0.6669743750369281,0.6486486486486486,0.6206896551724138,0.6792452830188679
pima_diabetes,CTAB-GAN+,MLP,3,5,23.094735622406006,1.7009997367858887,800,0.5,0.790754716981132,0.6563065808904291,0.6491228070175438,0.6065573770491803,0.6981132075471698
pima_diabetes,CTAB-GAN+,RF,4,5,23.00221085548401,0.1920003890991211,800,0.5,0.7911320754716981,0.6664868034719656,0.640625,0.5466666666666666,0.7735849056603774
pima_diabetes,CTAB-GAN+,MLP,4,5,23.00221085548401,1.674999475479126,800,0.5,0.7160377358490566,0.5023925949503768,0.5573770491803278,0.4927536231884058,0.6415094339622641
