dataset,oversampling,classifier,AUC_mean,AUC_std,PRAUC_mean,F1_mean,oversample_time,train_time,n_splits,minority_ratio
credit_default,CTAB-GAN+,MLP,0.6945516171619704,0.013929884077550164,0.37962363096387497,0.413318516716075,1005.5302540302276,153.54972653388978,5,0.5
credit_default,CTAB-GAN+,RF,0.7682305385213201,0.006476216718177934,0.5467112035875856,0.4802983028464591,1005.5302540302276,0.6472001552581788,5,0.5
ecoli,CTAB-GAN+,MLP,0.9199652777777778,0.07190818253533447,0.6157399639702594,0.6395588235294118,22.00597047805786,1.0612496137619019,4,0.5
ecoli,CTAB-GAN+,RF,0.9486531432748538,0.014795379874865218,0.711337742724466,0.5771724598930481,22.00597047805786,0.1694989800453186,4,0.5
mammography,CTAB-GAN+,MLP,0.9449735675856736,0.01978806035236316,0.7121978969907893,0.5598914022236339,23.040061044692994,16.126023912429808,5,0.5
mammography,CTAB-GAN+,RF,0.939489253265657,0.021671562127430825,0.6750687979139013,0.5251192329584884,23.040061044692994,0.3353987216949463,5,0.5
pageblocks,CTAB-GAN+,MLP,0.9982103866952352,0.0014590804556109923,0.7272604307107232,0.6927721235121616,22.941399733225506,3.8267239729563394,3,0.5
pageblocks,CTAB-GAN+,RF,0.9989950005101521,0.0007840258251634782,0.8415123456790123,0.7388888888888889,22.941399733225506,0.2439997990926107,3,0.5
pima_diabetes,CTAB-GAN+,MLP,0.7648029350104821,0.031125945714286885,0.5995303572878238,0.61990487887674,23.004529905319213,1.6867601871490479,5,0.5
pima_diabetes,CTAB-GAN+,RF,0.8307658979734451,0.032137477140357314,0.7063085671564049,0.6786346968890073,23.004529905319213,0.18639898300170898,5,0.5
wine_quality,CTAB-GAN+,MLP,0.8146392415745544,0.028721648016800924,0.20218714961149034,0.2866714958029951,36.45580005645752,18.361923694610596,5,0.5
wine_quality,CTAB-GAN+,RF,0.844067237969677,0.04598388101264524,0.2719814527003322,0.2718213235542301,36.45580005645752,0.27019100189208983,5,0.5
yeast_me2,CTAB-GAN+,MLP,0.8824015452396827,0.049829704289927425,0.4031566659218724,0.24319859609853953,22.873611640930175,4.448599720001221,5,0.5
yeast_me2,CTAB-GAN+,RF,0.9373443186525225,0.04081959761654638,0.44513727219428567,0.15844155844155844,22.873611640930175,0.19879908561706544,5,0.5
