dataset,oversampling,classifier,n_train_resampled,minority_ratio,best_k,oversample_time,train_time,AUC,F1,Precision,Recall
credit_default,G-CTGAN,RF,32710,0.5,9,61.21,0.75,0.7636,0.4675,0.6463,0.3661
credit_default,G-CTGAN,LGBM,32710,0.5,9,61.21,0.13,0.7813,0.4597,0.6619,0.3521
credit_default,G-CTGAN,MLP,32710,0.5,9,61.21,35.82,0.7053,0.4327,0.4666,0.4033
fraud_detection,G-CTGAN,RF,398040,0.5,6,27.16,28.17,0.9618,0.7571,0.7101,0.8108
fraud_detection,G-CTGAN,LGBM,398040,0.5,6,27.16,0.68,0.9547,0.7181,0.6402,0.8176
fraud_detection,G-CTGAN,MLP,398040,0.5,6,27.16,45.34,0.9718,0.8028,0.8227,0.7838
pima_diabetes,G-CTGAN,RF,700,0.5,4,8.74,0.25,0.8002,0.6026,0.6267,0.5802
pima_diabetes,G-CTGAN,LGBM,700,0.5,4,8.74,0.05,0.7946,0.6234,0.6575,0.5926
pima_diabetes,G-CTGAN,MLP,700,0.5,4,8.74,0.92,0.7734,0.5976,0.5904,0.6049
ibm_attrition,G-CTGAN,RF,1726,0.5,6,30.95,0.24,0.7754,0.2093,0.6,0.1268
ibm_attrition,G-CTGAN,LGBM,1726,0.5,6,30.95,0.07,0.7702,0.3232,0.5714,0.2254
ibm_attrition,G-CTGAN,MLP,1726,0.5,6,30.95,0.71,0.7275,0.4286,0.4348,0.4225
yeast_me2,G-CTGAN,RF,1977,0.4932,3,3.83,0.26,0.9183,0.1667,0.2222,0.1333
yeast_me2,G-CTGAN,LGBM,1977,0.4932,3,3.83,0.05,0.9066,0.3333,0.4444,0.2667
yeast_me2,G-CTGAN,MLP,1977,0.4932,3,3.83,2.07,0.8704,0.186,0.1429,0.2667
mammography,G-CTGAN,RF,15292,0.5,9,16.09,0.35,0.9542,0.6146,0.5175,0.7564
mammography,G-CTGAN,LGBM,15292,0.5,9,16.09,0.07,0.9518,0.6824,0.6304,0.7436
mammography,G-CTGAN,MLP,15292,0.5,9,16.09,8.37,0.9538,0.5672,0.4634,0.7308
abalone_19,G-CTGAN,RF,5802,0.5,5,9.65,0.28,0.7936,0.0,0.0,0.0
abalone_19,G-CTGAN,LGBM,5802,0.5,5,9.65,0.05,0.7043,0.0,0.0,0.0
abalone_19,G-CTGAN,MLP,5802,0.5,5,9.65,2.37,0.8538,0.0351,0.0213,0.1
wine_quality,G-CTGAN,RF,6600,0.5,2,5.23,0.31,0.804,0.1818,0.2045,0.1636
wine_quality,G-CTGAN,LGBM,6600,0.5,2,5.23,0.07,0.856,0.2366,0.2895,0.2
wine_quality,G-CTGAN,MLP,6600,0.5,2,5.23,5.03,0.8205,0.4062,0.3562,0.4727
ecoli,G-CTGAN,RF,414,0.4903,3,3.73,0.23,0.9798,0.8,0.8889,0.7273
ecoli,G-CTGAN,LGBM,414,0.4903,3,3.73,0.03,0.9707,0.7,0.7778,0.6364
ecoli,G-CTGAN,MLP,414,0.4903,3,3.73,0.63,0.9414,0.625,0.4762,0.9091
pageblocks,G-CTGAN,RF,7622,0.5,5,10.35,0.3,0.9961,0.5161,0.3478,1.0
pageblocks,G-CTGAN,LGBM,7622,0.5,5,10.35,0.06,0.9989,0.5517,0.381,1.0
pageblocks,G-CTGAN,MLP,7622,0.5,5,10.35,2.12,0.9957,0.5517,0.381,1.0
protein_homo,G-CTGAN,RF,202236,0.5,2,38.88,14.5,0.9729,0.8206,0.9588,0.7172
protein_homo,G-CTGAN,LGBM,202236,0.5,2,38.88,0.82,0.9888,0.806,0.8601,0.7584
protein_homo,G-CTGAN,MLP,202236,0.5,2,38.88,32.37,0.996,0.8458,0.8458,0.8458
