dataset,oversampling,classifier,AUC_mean,AUC_std,PRAUC_mean,F1_mean,oversample_time,train_time,n_splits,minority_ratio
abalone_19,G-CTGAN,LGBM,0.6842274868243708,0.0114308816205064,0.09808272774476931,0.0,10.0835000872612,0.06525063514709473,4,0.5
abalone_19,G-CTGAN,MLP,0.7583876829974348,0.06076378150238806,0.027737900719361594,0.017241379310344827,10.0835000872612,4.829170048236847,4,0.5
abalone_19,G-CTGAN,RF,0.7344854174500992,0.04790796809489474,0.02103861213946561,0.0,10.0835000872612,0.30250000953674316,4,0.5
credit_default,G-CTGAN,LGBM,0.783631025262171,0.005616897334888837,0.5570722114402693,0.47783042493948297,57.4372537612915,0.13980026245117189,5,0.5
credit_default,G-CTGAN,MLP,0.6967451364417827,0.014868522883308347,0.39857004431686827,0.42798102614252354,57.4372537612915,51.266823530197144,5,0.5
credit_default,G-CTGAN,RF,0.7721567667502962,0.006055421569968364,0.550728806322869,0.48241462478825914,57.4372537612915,0.8347995281219482,5,0.5
ecoli,G-CTGAN,LGBM,0.9410794346978557,0.01852856568013597,0.6398850980565167,0.5820512820512821,3.7417606115341187,0.04073995351791382,4,0.49352032619526975
ecoli,G-CTGAN,MLP,0.9135873538011696,0.06862248667958704,0.5556570199227545,0.6218181818181818,3.7417606115341187,0.6110004782676697,4,0.49352032619526975
ecoli,G-CTGAN,RF,0.9524354288499025,0.01768174837747979,0.7008577609527364,0.5583333333333333,3.7417606115341187,0.24106013774871826,4,0.49352032619526975
fraud_detection,G-CTGAN,LGBM,0.9638187623452961,0.0036240593537988862,0.7874095794006563,0.7787196510211339,27.10069088935852,0.6621506690979004,5,0.5
fraud_detection,G-CTGAN,MLP,0.9692541016163456,0.006249421146700605,0.836169706818573,0.8436176666333697,27.10069088935852,39.91403555870056,5,0.5
fraud_detection,G-CTGAN,RF,0.9654736427352815,0.005820375212228493,0.8169409468915155,0.7947559831447141,27.10069088935852,33.567936182022095,5,0.5
ibm_attrition,G-CTGAN,LGBM,0.8044078690582322,0.025468654137754645,0.5506105051934695,0.40513254470286214,23.830287504196168,0.07479190826416016,5,0.5
ibm_attrition,G-CTGAN,MLP,0.7554294881716153,0.02817410229256948,0.48804016817915963,0.4428172664607669,23.830287504196168,0.8956398963928223,5,0.5
ibm_attrition,G-CTGAN,RF,0.8019073896269153,0.023650139618364478,0.5611120635145159,0.20331959982857936,23.830287504196168,0.24389634132385254,5,0.5
mammography,G-CTGAN,LGBM,0.9435796745207501,0.019243487382408764,0.6734825658338733,0.6358925056760218,13.637033462524414,0.07480044364929199,5,0.4992945494846218
mammography,G-CTGAN,MLP,0.9439844518196701,0.025766022977056102,0.6698455180778236,0.5580032254062968,13.637033462524414,12.3347496509552,5,0.4992945494846218
mammography,G-CTGAN,RF,0.9384149062519948,0.020856750917890916,0.6666349938718449,0.5964777240713344,13.637033462524414,0.39999866485595703,5,0.4992945494846218
pageblocks,G-CTGAN,LGBM,0.9993653708805224,0.0006963917107035703,0.8465955443733221,0.8023809523809523,8.777655601501465,0.07166663805643718,3,0.4955209806694955
pageblocks,G-CTGAN,MLP,0.998132843587389,0.0016429429936112266,0.7368598966552184,0.7108695652173913,8.777655601501465,2.371278444925944,3,0.4955209806694955
pageblocks,G-CTGAN,RF,0.9994204672992552,0.000452573570838843,0.855603347270014,0.7327219564061669,8.777655601501465,0.31533384323120117,3,0.4955209806694955
pima_diabetes,G-CTGAN,LGBM,0.8116415094339622,0.028537166216389857,0.6601458025230467,0.6555795372953418,11.345519018173217,0.059708166122436526,5,0.5
pima_diabetes,G-CTGAN,MLP,0.7574619147449336,0.032198474416889555,0.6038427751454166,0.5910216164067145,11.345519018173217,0.9952113151550293,5,0.5
pima_diabetes,G-CTGAN,RF,0.8212564640111809,0.03231713309540754,0.6838907427907853,0.6634724015052779,11.345519018173217,0.26820058822631837,5,0.5
protein_homo,G-CTGAN,LGBM,0.9843791934612606,0.00441884565646605,0.8389281111604255,0.795660176334169,41.26287269592285,0.8636000156402588,5,0.5
protein_homo,G-CTGAN,MLP,0.9918582842178425,0.0037647265067367,0.8929432004402644,0.8507975209982812,41.26287269592285,41.12805914878845,5,0.5
protein_homo,G-CTGAN,RF,0.972233789287197,0.006838437183998059,0.7983497601918028,0.8028664040961015,41.26287269592285,17.22231993675232,5,0.5
wine_quality,G-CTGAN,LGBM,0.850633401163624,0.025527501139131322,0.22499181404034344,0.26954811146444835,5.4271644115447994,0.07860054969787597,5,0.5
wine_quality,G-CTGAN,MLP,0.8024055869230843,0.051010768114657476,0.2774037679394544,0.35850348202522114,5.4271644115447994,6.650559282302856,5,0.5
wine_quality,G-CTGAN,RF,0.8197769880166487,0.02530415268457631,0.20662100324620364,0.22146594543131393,5.4271644115447994,0.33640007972717284,5,0.5
yeast_me2,G-CTGAN,LGBM,0.9491108226584946,0.01692148704657892,0.45507289864489736,0.3347899159663866,4.737701320648194,0.06300044059753418,5,0.4963802364933979
yeast_me2,G-CTGAN,MLP,0.8982969358800844,0.049777180205182486,0.3908822308964134,0.33972712163310875,4.737701320648194,2.6900779724121096,5,0.4963802364933979
yeast_me2,G-CTGAN,RF,0.9384103922684854,0.042501818098430864,0.4618531406301635,0.15833333333333333,4.737701320648194,0.2756014347076416,5,0.4963802364933979
