dataset,SMOTE,ADASYN,G-SMOTE,CTGAN,TVAE,CTAB-GAN+,G-CTGAN,GA-G-CTGAN,classifier
credit_default,0.7733,0.7684,0.7517,0.7655,0.7632,0.7613,0.7636,0.765,RF
fraud_detection,0.9763,0.9753,0.9756,0.9639,0.9551,,0.9618,,RF
pima_diabetes,0.8426,0.8442,0.8355,0.8048,0.8349,0.8363,0.8002,0.8187,RF
ibm_attrition,0.7797,0.7888,0.7888,0.7665,0.778,,0.7754,0.765,RF
yeast_me2,0.9027,0.8919,0.9058,0.9225,0.9145,0.9101,0.9183,0.9318,RF
mammography,0.97,0.9648,0.9689,0.9533,0.961,0.9493,0.9542,,RF
abalone_19,0.8096,0.8259,0.8412,0.752,0.758,,0.7936,,RF
wine_quality,0.8467,0.8404,0.8549,0.8154,0.8148,0.8503,0.804,0.8419,RF
ecoli,0.9566,0.9545,0.9566,0.9848,0.9707,0.9737,0.9798,0.9697,RF
pageblocks,0.9971,0.9976,0.9972,0.9962,0.9968,0.9963,0.9961,,RF
protein_homo,0.9951,0.9937,0.9952,0.9714,0.9817,,0.9729,,RF
credit_default,0.7719,0.768,0.7305,0.7773,0.7804,,0.7813,0.7785,LGBM
fraud_detection,0.9715,0.97,0.9693,0.9475,0.9544,,0.9547,,LGBM
pima_diabetes,0.8133,0.8228,0.8281,0.7952,0.8238,,0.7946,0.8051,LGBM
ibm_attrition,0.7659,0.764,0.7657,0.7655,0.7526,,0.7702,0.7646,LGBM
yeast_me2,0.9191,0.9036,0.9109,0.8905,0.9004,,0.9066,0.9129,LGBM
mammography,0.9773,0.9593,0.9581,0.959,0.9591,,0.9518,,LGBM
abalone_19,0.8246,0.8064,0.8899,0.8217,0.8593,,0.7043,,LGBM
wine_quality,0.8644,0.8548,0.8524,0.8501,0.8193,,0.856,0.879,LGBM
ecoli,0.9283,0.9515,0.9485,0.9646,0.9646,,0.9707,0.9687,LGBM
pageblocks,0.9961,0.9964,0.9964,0.9965,0.9964,,0.9989,,LGBM
protein_homo,0.996,0.996,0.9957,0.9908,0.9888,,0.9888,,LGBM
credit_default,0.6901,0.6788,0.6876,0.7125,0.6887,0.7129,0.7053,0.7006,MLP
fraud_detection,0.9489,0.9369,0.9384,0.9547,0.9574,,0.9718,,MLP
pima_diabetes,0.7811,0.7945,0.7816,0.7495,0.801,0.771,0.7734,0.743,MLP
ibm_attrition,0.7414,0.7454,0.7438,0.7415,0.7349,,0.7275,0.7204,MLP
yeast_me2,0.8192,0.8074,0.8076,0.8367,0.7578,0.7346,0.8704,0.8311,MLP
mammography,0.9413,0.9303,0.9258,0.9697,0.9737,0.9657,0.9538,,MLP
abalone_19,0.8453,0.8322,0.8321,0.8285,0.8174,,0.8538,,MLP
wine_quality,0.8073,0.8028,0.8067,0.8283,0.7988,0.8088,0.8205,0.8082,MLP
ecoli,0.898,0.901,0.9,0.9596,0.9101,0.9414,0.9414,0.9131,MLP
pageblocks,0.9987,0.9985,0.9984,0.9965,0.9962,0.9959,0.9957,,MLP
protein_homo,0.9935,0.9945,0.9946,0.9933,0.9944,,0.996,,MLP
