classifier,method_A,method_B,W_stat,p_value,significant,mean_delta,wins,n_datasets
RF,GA-G-CTGAN,SMOTE,25.0,0.51953125,False,-0.0015181818181817922,4,11
RF,GA-G-CTGAN,ADASYN,19.0,0.3862707203664827,False,-0.0011363636363636222,3,11
RF,GA-G-CTGAN,G-SMOTE,25.0,0.51953125,False,-0.0034909090909090797,4,11
RF,GA-G-CTGAN,CTGAN,12.0,0.0673828125,False,0.012427272727272742,8,11
RF,GA-G-CTGAN,TVAE,19.0,0.240234375,False,0.009481818181818197,7,11
RF,GA-G-CTGAN,G-CTGAN,9.0,0.0322265625,True,0.01028181818181819,9,11
LGBM,GA-G-CTGAN,SMOTE,27.0,0.6376953125,False,-0.0016272727272727196,4,11
LGBM,GA-G-CTGAN,ADASYN,26.0,0.5771484375,False,0.0016090909090909237,7,11
LGBM,GA-G-CTGAN,G-SMOTE,27.0,0.6376953125,False,-0.0031818181818181845,6,11
LGBM,GA-G-CTGAN,CTGAN,12.0,0.0673828125,False,0.004709090909090926,9,11
LGBM,GA-G-CTGAN,TVAE,21.0,0.3203125,False,0.0010363636363636534,8,11
LGBM,GA-G-CTGAN,G-CTGAN,10.0,0.0419921875,True,0.012054545454545469,7,11
MLP,GA-G-CTGAN,SMOTE,25.0,0.51953125,False,0.0006999999999999835,7,11
MLP,GA-G-CTGAN,ADASYN,22.0,0.365234375,False,0.004563636363636366,8,11
MLP,GA-G-CTGAN,G-SMOTE,21.0,0.3203125,False,0.005081818181818198,8,11
MLP,GA-G-CTGAN,CTGAN,15.0,0.123046875,False,-0.008936363636363652,4,11
MLP,GA-G-CTGAN,TVAE,25.0,0.51953125,False,0.0038272727272727295,8,11
MLP,GA-G-CTGAN,G-CTGAN,6.0,0.013671875,True,-0.012463636363636364,2,11
