dataset,oversampling,classifier,AUC
abalone_19,ADASYN,LGBM,0.7926212666335918
abalone_19,ADASYN,MLP,0.7796006029793396
abalone_19,ADASYN,RF,0.7985014176250917
abalone_19,CTGAN,LGBM,0.7366273589076746
abalone_19,CTGAN,MLP,0.7563610748353395
abalone_19,CTGAN,RF,0.727112042064278
abalone_19,G-SMOTE,LGBM,0.7634816623259849
abalone_19,G-SMOTE,MLP,0.7778244120532573
abalone_19,G-SMOTE,RF,0.7376982569168562
abalone_19,GMMSampling,LGBM,0.7033954151277259
abalone_19,GMMSampling,MLP,0.7643286421236638
abalone_19,GMMSampling,RF,0.7476659042549231
abalone_19,SMOTE,LGBM,0.7928218127636522
abalone_19,SMOTE,MLP,0.7781261984191106
abalone_19,SMOTE,RF,0.7847928846715913
abalone_19,TVAE,LGBM,0.6726107478879899
abalone_19,TVAE,MLP,0.7556450775924015
abalone_19,TVAE,RF,0.7173419884402586
credit_default,ADASYN,LGBM,0.7699478886705178
credit_default,ADASYN,MLP,0.6815713921313812
credit_default,ADASYN,RF,0.7706258858305725
credit_default,CTGAN,LGBM,0.7836150913510018
credit_default,CTGAN,MLP,0.7018731853526929
credit_default,CTGAN,RF,0.7732338679456399
credit_default,G-SMOTE,LGBM,0.7746602987503569
credit_default,G-SMOTE,MLP,0.6851078774495454
credit_default,G-SMOTE,RF,0.7749732172192976
credit_default,GMMSampling,LGBM,0.7820718042992474
credit_default,GMMSampling,MLP,0.7451954747056003
credit_default,GMMSampling,RF,0.7687654026392171
credit_default,SMOTE,LGBM,0.7745312997700244
credit_default,SMOTE,MLP,0.6801056360298948
credit_default,SMOTE,RF,0.7746257039883295
credit_default,TVAE,LGBM,0.7833697540907942
credit_default,TVAE,MLP,0.6905904195333682
credit_default,TVAE,RF,0.772117565285167
ecoli,ADASYN,LGBM,0.9500091374269005
ecoli,ADASYN,MLP,0.9007090643274854
ecoli,ADASYN,RF,0.942764985380117
ecoli,CTGAN,LGBM,0.9548647660818713
ecoli,CTGAN,MLP,0.9239577241715399
ecoli,CTGAN,RF,0.9368829191033139
ecoli,G-SMOTE,LGBM,0.9472532894736843
ecoli,G-SMOTE,MLP,0.9096387670565304
ecoli,G-SMOTE,RF,0.940913133528265
ecoli,GMMSampling,LGBM,0.9525359405458089
ecoli,GMMSampling,MLP,0.9021058723196882
ecoli,GMMSampling,RF,0.9433424707602339
ecoli,SMOTE,LGBM,0.9428088450292398
ecoli,SMOTE,MLP,0.903916910331384
ecoli,SMOTE,RF,0.9307906920077973
ecoli,TVAE,LGBM,0.9436312134502923
ecoli,TVAE,MLP,0.9153575779727096
ecoli,TVAE,RF,0.9381980994152046
fraud_detection,ADASYN,LGBM,0.978509499190032
fraud_detection,ADASYN,MLP,0.9575135506808374
fraud_detection,ADASYN,RF,0.9814370801635931
fraud_detection,CTGAN,LGBM,0.9629538899081483
fraud_detection,CTGAN,MLP,0.9728203352832473
fraud_detection,CTGAN,RF,0.9695262258309784
fraud_detection,G-SMOTE,LGBM,0.9791496117748941
fraud_detection,G-SMOTE,MLP,0.9601913702081776
fraud_detection,G-SMOTE,RF,0.9832388935417267
fraud_detection,GMMSampling,LGBM,0.9231795836994797
fraud_detection,GMMSampling,MLP,0.9500116368979125
fraud_detection,GMMSampling,RF,0.9391755377009409
fraud_detection,SMOTE,LGBM,0.9799849784159189
fraud_detection,SMOTE,MLP,0.9592556018569922
fraud_detection,SMOTE,RF,0.9808050131144987
fraud_detection,TVAE,LGBM,0.9696670279635351
fraud_detection,TVAE,MLP,0.9659935073146275
fraud_detection,TVAE,RF,0.9714597740268462
ibm_attrition,ADASYN,LGBM,0.806792498566083
ibm_attrition,ADASYN,MLP,0.7601712594027482
ibm_attrition,ADASYN,RF,0.81403581868427
ibm_attrition,CTGAN,LGBM,0.8047379092265812
ibm_attrition,CTGAN,MLP,0.7606453186376984
ibm_attrition,CTGAN,RF,0.8033931612843134
ibm_attrition,G-SMOTE,LGBM,0.7916387149163076
ibm_attrition,G-SMOTE,MLP,0.7573212809611084
ibm_attrition,G-SMOTE,RF,0.8107449749878668
ibm_attrition,GMMSampling,LGBM,0.7954543301839686
ibm_attrition,GMMSampling,MLP,0.787400917041516
ibm_attrition,GMMSampling,RF,0.79536267651418
ibm_attrition,SMOTE,LGBM,0.8040763800910471
ibm_attrition,SMOTE,MLP,0.759623251607656
ibm_attrition,SMOTE,RF,0.8157931737384392
ibm_attrition,TVAE,LGBM,0.8025171428064526
ibm_attrition,TVAE,MLP,0.7630787258320512
ibm_attrition,TVAE,RF,0.8038768018505408
mammography,ADASYN,LGBM,0.9307331226026218
mammography,ADASYN,MLP,0.9106740485281895
mammography,ADASYN,RF,0.9414307870589775
mammography,CTGAN,LGBM,0.9358077786278148
mammography,CTGAN,MLP,0.9469923361271715
mammography,CTGAN,RF,0.9305959425190193
mammography,G-SMOTE,LGBM,0.9336842907210141
mammography,G-SMOTE,MLP,0.9152458515564703
mammography,G-SMOTE,RF,0.9507789379546112
mammography,GMMSampling,LGBM,0.9405771777656129
mammography,GMMSampling,MLP,0.9511699209594606
mammography,GMMSampling,RF,0.94128586355263
mammography,SMOTE,LGBM,0.9296753529211502
mammography,SMOTE,MLP,0.9076383878399369
mammography,SMOTE,RF,0.947993393649418
mammography,TVAE,LGBM,0.9441043263709827
mammography,TVAE,MLP,0.9507414217464165
mammography,TVAE,RF,0.9526853230967823
pageblocks,ADASYN,LGBM,0.9661493725130089
pageblocks,ADASYN,MLP,0.9950209162330373
pageblocks,ADASYN,RF,0.9993704724007754
pageblocks,CTGAN,LGBM,0.9980889705132129
pageblocks,CTGAN,MLP,0.9980042852770126
pageblocks,CTGAN,RF,0.9979593918987858
pageblocks,G-SMOTE,LGBM,0.9663636363636363
pageblocks,G-SMOTE,MLP,0.9841240689725538
pageblocks,G-SMOTE,RF,0.999353127231915
pageblocks,GMMSampling,LGBM,0.9973900622385471
pageblocks,GMMSampling,MLP,0.9968431792674216
pageblocks,GMMSampling,RF,0.998561371288644
pageblocks,SMOTE,LGBM,0.9661432506887051
pageblocks,SMOTE,MLP,0.9959922456892154
pageblocks,SMOTE,RF,0.9993368023671053
pageblocks,TVAE,LGBM,0.9992949699010304
pageblocks,TVAE,MLP,0.9919579634731152
pageblocks,TVAE,RF,0.9993368023671053
pima_diabetes,ADASYN,LGBM,0.805559748427673
pima_diabetes,ADASYN,MLP,0.752529000698812
pima_diabetes,ADASYN,RF,0.8217903563941299
pima_diabetes,CTGAN,LGBM,0.8039259259259259
pima_diabetes,CTGAN,MLP,0.7566715583508037
pima_diabetes,CTGAN,RF,0.8141320754716983
pima_diabetes,G-SMOTE,LGBM,0.8001761006289307
pima_diabetes,G-SMOTE,MLP,0.7554856743535989
pima_diabetes,G-SMOTE,RF,0.8244800838574424
pima_diabetes,GMMSampling,LGBM,0.8193906359189379
pima_diabetes,GMMSampling,MLP,0.8040628930817609
pima_diabetes,GMMSampling,RF,0.8268721174004193
pima_diabetes,SMOTE,LGBM,0.8031621243885395
pima_diabetes,SMOTE,MLP,0.7641215932914046
pima_diabetes,SMOTE,RF,0.8255842068483578
pima_diabetes,TVAE,LGBM,0.8041705101327743
pima_diabetes,TVAE,MLP,0.7637477288609364
pima_diabetes,TVAE,RF,0.8169182389937107
protein_homo,ADASYN,LGBM,0.992683029195784
protein_homo,ADASYN,MLP,0.991423151900463
protein_homo,ADASYN,RF,0.9912687548193416
protein_homo,CTGAN,LGBM,0.982635860673831
protein_homo,CTGAN,MLP,0.9920665367223119
protein_homo,CTGAN,RF,0.9692522571112789
protein_homo,G-SMOTE,LGBM,0.9932529286746863
protein_homo,G-SMOTE,MLP,0.9909406145690802
protein_homo,G-SMOTE,RF,0.9926470596852376
protein_homo,GMMSampling,LGBM,0.9871148815365007
protein_homo,GMMSampling,MLP,0.9920047041512203
protein_homo,GMMSampling,RF,0.9739502066989866
protein_homo,SMOTE,LGBM,0.9928985392460177
protein_homo,SMOTE,MLP,0.9900002286278291
protein_homo,SMOTE,RF,0.9922705728731828
protein_homo,TVAE,LGBM,0.9835915805108633
protein_homo,TVAE,MLP,0.9908441800910044
protein_homo,TVAE,RF,0.9778361934445143
wine_quality,ADASYN,LGBM,0.8546089567828699
wine_quality,ADASYN,MLP,0.7795348370639993
wine_quality,ADASYN,RF,0.8497958722242922
wine_quality,CTGAN,LGBM,0.8474950560316415
wine_quality,CTGAN,MLP,0.7963174202834861
wine_quality,CTGAN,RF,0.8129508087090273
wine_quality,G-SMOTE,LGBM,0.8523587744690607
wine_quality,G-SMOTE,MLP,0.7472409312812281
wine_quality,G-SMOTE,RF,0.8569081807151797
wine_quality,GMMSampling,LGBM,0.836673099398444
wine_quality,GMMSampling,MLP,0.8219259025727743
wine_quality,GMMSampling,RF,0.8410140787659346
wine_quality,SMOTE,LGBM,0.8486263570038755
wine_quality,SMOTE,MLP,0.7516987825577434
wine_quality,SMOTE,RF,0.8570342877341817
wine_quality,TVAE,LGBM,0.8305443301201519
wine_quality,TVAE,MLP,0.793421576401428
wine_quality,TVAE,RF,0.8198687022122865
yeast_me2,ADASYN,LGBM,0.9198670730599778
yeast_me2,ADASYN,MLP,0.8650999997784921
yeast_me2,ADASYN,RF,0.9272704900421088
yeast_me2,CTGAN,LGBM,0.9384806546003885
yeast_me2,CTGAN,MLP,0.8714745121840466
yeast_me2,CTGAN,RF,0.9269649862332789
yeast_me2,G-SMOTE,LGBM,0.9197628757052261
yeast_me2,G-SMOTE,MLP,0.8636897249092371
yeast_me2,G-SMOTE,RF,0.931569228997167
yeast_me2,GMMSampling,LGBM,0.9386640189079214
yeast_me2,GMMSampling,MLP,0.8882382584156421
yeast_me2,GMMSampling,RF,0.932614503013616
yeast_me2,SMOTE,LGBM,0.9243922374742773
yeast_me2,SMOTE,MLP,0.8570467669802481
yeast_me2,SMOTE,RF,0.9269032076570879
yeast_me2,TVAE,LGBM,0.9398504156597284
yeast_me2,TVAE,MLP,0.8802021038828135
