dataset,SMOTE,ADASYN,G-SMOTE,CTGAN,TVAE,FF-SMOTE,GMMSampling,G-CTGAN,GA-G-CTGAN
pima_diabetes,0.8032,0.8056,0.8002,0.8039,0.8042,0.8036,0.8194,0.8116,0.8221
credit_default,0.7745,0.7699,0.7747,0.7836,0.7834,0.7613,0.7821,0.7836,0.7847
ibm_attrition,0.8041,0.8068,0.7916,0.8047,0.8025,0.8081,0.7955,0.8044,0.8104
ecoli,0.9428,0.95,0.9473,0.9549,0.9436,0.9461,0.9525,0.9411,0.9554
wine_quality,0.8486,0.8546,0.8524,0.8475,0.8305,0.818,0.8367,0.8506,0.8652
yeast_me2,0.9244,0.9199,0.9198,0.9385,0.9399,0.9397,0.9387,0.9491,0.9421
mammography,0.9297,0.9307,0.9337,0.9358,0.9441,0.9151,0.9406,0.9436,0.9488
protein_homo,0.9929,0.9927,0.9933,0.9826,0.9836,0.9914,0.9871,0.9844,0.9916
abalone_19,0.7928,0.7926,0.7635,0.7366,0.6726,0.7403,0.7034,0.6842,0.7214
pageblocks,0.9661,0.9661,0.9664,0.9981,0.9993,0.9659,0.9974,0.9994,0.9992
fraud_detection,0.98,0.9785,0.9791,0.963,0.9697,0.9806,0.9232,0.9638,0.9773
MEAN (7 GA-applicable),0.861,0.8625,0.8599,0.867,0.864,0.856,0.8665,0.8692,0.8755
MEAN (11 all datasets),0.8872,0.888,0.8838,0.8863,0.8794,0.8791,0.8797,0.8833,0.8926
