dataset,SMOTE,ADASYN,G-SMOTE,CTGAN,TVAE,FF-SMOTE,CTAB-GAN+,GMMSampling,G-CTGAN,GA-G-CTGAN
pima_diabetes,0.7641,0.7525,0.7555,0.7567,0.7637,0.7494,0.7648,0.8041,0.7575,0.778
credit_default,0.6801,0.6816,0.6851,0.7019,0.6906,0.6632,0.6946,0.7452,0.6967,0.7007
ibm_attrition,0.7596,0.7602,0.7573,0.7606,0.7631,0.7556,,0.7874,0.7554,0.7585
ecoli,0.9039,0.9007,0.9096,0.924,0.9154,0.8975,0.92,0.9021,0.9136,0.9377
wine_quality,0.7517,0.7795,0.7472,0.7963,0.7934,0.7048,0.8146,0.8219,0.8024,0.7854
yeast_me2,0.857,0.8651,0.8637,0.8715,0.8802,0.8657,0.8824,0.8882,0.8983,0.9013
mammography,0.9076,0.9107,0.9152,0.947,0.9507,0.9167,0.945,0.9512,0.944,0.9535
protein_homo,0.99,0.9914,0.9909,0.9921,0.9908,0.9901,,0.992,0.9919,0.9927
abalone_19,0.7781,0.7796,0.7778,0.7564,0.7556,0.6997,,0.7643,0.7584,0.7324
pageblocks,0.996,0.995,0.9841,0.998,0.992,0.9989,0.9982,0.9968,0.9981,0.9989
fraud_detection,0.9593,0.9575,0.9602,0.9728,0.966,0.9627,,0.95,0.9693,0.9639
MEAN (7 GA-applicable),0.8035,0.8072,0.8048,0.8226,0.8224,0.7932,0.8369,0.8429,0.824,0.8307
MEAN (11 all datasets),0.8498,0.8522,0.8497,0.8616,0.8601,0.8367,0.8599,0.873,0.8623,0.8639
