dataset,SMOTE,ADASYN,G-SMOTE,CTGAN,TVAE,FF-SMOTE,CTAB-GAN+,GMMSampling,G-CTGAN,GA-G-CTGAN
pima_diabetes,0.8256,0.8218,0.8245,0.8141,0.8169,0.8141,0.8308,0.8269,0.8213,0.8334
credit_default,0.7746,0.7706,0.775,0.7732,0.7721,0.7502,0.7682,0.7688,0.7722,0.7728
ibm_attrition,0.8158,0.814,0.8107,0.8034,0.8039,0.8221,,0.7954,0.8019,0.8058
ecoli,0.9308,0.9428,0.9409,0.9369,0.9382,0.9433,0.9487,0.9433,0.9524,0.9562
wine_quality,0.857,0.8498,0.8569,0.813,0.8199,0.8226,0.8441,0.841,0.8198,0.846
yeast_me2,0.9269,0.9273,0.9316,0.927,0.943,0.9309,0.9373,0.9326,0.9384,0.9328
mammography,0.948,0.9414,0.9508,0.9306,0.9527,0.9319,0.9395,0.9413,0.9384,0.9411
protein_homo,0.9923,0.9913,0.9926,0.9693,0.9778,0.9903,,0.974,0.9722,0.9864
abalone_19,0.7848,0.7985,0.7377,0.7271,0.7173,0.7528,,0.7477,0.7345,0.7534
pageblocks,0.9993,0.9994,0.9994,0.998,0.9993,0.9992,0.999,0.9986,0.9994,0.9994
fraud_detection,0.9808,0.9814,0.9832,0.9695,0.9715,0.9838,,0.9392,0.9655,0.9761
MEAN (7 GA-applicable),0.8684,0.8668,0.8701,0.8569,0.8638,0.8593,0.8781,0.8642,0.8635,0.8697
MEAN (11 all datasets),0.8942,0.8944,0.8912,0.8784,0.883,0.8856,0.8954,0.8826,0.8833,0.8912
