classifier,method,C0_fixed0.50,C1_tuned,gain
RF,SMOTE,0.8684,0.8725,0.0041
RF,ADASYN,0.8668,0.8714,0.0046
RF,G-SMOTE,0.8701,0.8728,0.0028
RF,CTGAN,0.8569,0.8724,0.0155
RF,TVAE,0.8638,0.8723,0.0085
RF,GA-G-CTGAN (auto),0.8697,0.8697,0.0
LGBM,SMOTE,0.861,0.8695,0.0084
LGBM,ADASYN,0.8625,0.8684,0.0059
LGBM,G-SMOTE,0.8599,0.8701,0.0102
LGBM,CTGAN,0.867,0.8732,0.0063
LGBM,TVAE,0.864,0.871,0.0069
LGBM,GA-G-CTGAN (auto),0.8755,0.8755,0.0
MLP,SMOTE,0.8035,0.8172,0.0138
MLP,ADASYN,0.8072,0.8183,0.0111
MLP,G-SMOTE,0.8048,0.8175,0.0126
MLP,CTGAN,0.8226,0.8331,0.0105
MLP,TVAE,0.8224,0.8282,0.0057
MLP,GA-G-CTGAN (auto),0.8307,0.8307,0.0
