classifier,vs_method,rank_diff,p_value,significant_0.05
RF,SMOTE,-0.714,1.0,False
RF,ADASYN,-1.429,0.988,False
RF,G-SMOTE,0.0,1.0,False
RF,CTGAN,-4.0,0.136,False
RF,TVAE,-1.571,0.978,False
RF,FF-SMOTE,-2.714,0.646,False
RF,GMMSampling,-1.714,0.963,False
RF,G-CTGAN,-2.0,0.911,False
LGBM,SMOTE,-5.857,0.002,True
LGBM,ADASYN,-4.0,0.136,False
LGBM,G-SMOTE,-5.571,0.004,True
LGBM,CTGAN,-3.429,0.317,False
LGBM,TVAE,-4.0,0.136,False
LGBM,FF-SMOTE,-5.429,0.006,True
LGBM,GMMSampling,-3.714,0.214,False
LGBM,G-CTGAN,-2.714,0.646,False
MLP,SMOTE,-4.0,0.136,False
MLP,ADASYN,-4.143,0.107,False
MLP,G-SMOTE,-4.143,0.107,False
MLP,CTGAN,-0.857,1.0,False
MLP,TVAE,-0.857,1.0,False
MLP,FF-SMOTE,-5.286,0.009,True
MLP,GMMSampling,0.429,1.0,False
MLP,G-CTGAN,-1.714,0.963,False
